"","IRIS","population"
"1213","774640103",3143
"1214","774680101",537
"1215","774680102",1254
"1216","774680103",1390
"1217","774680201",704
"1218","774680202",913
"1219","774680203",818
"1220","774680204",1125
"1221","774680205",1406
"1222","774680206",649
"1223","774680207",0
"1224","774700101",3020
"1225","774700102",1998
"1226","774700103",3348
"1227","774790101",1470
"1228","774790102",1348
"1229","774790103",847
"1230","774790104",635
"1231","774790105",793
"1232","774870101",562
"1233","774870102",1255
"1234","774870103",1735
"1235","774870104",1023
"1236","774950101",3149
"1237","774950102",2396
"1238","774950103",2049
"1239","775140101",1530
"1240","775140102",1008
"1241","775140103",933
"1242","775140104",1361
"1243","775140201",3123
"1244","775140301",2313
"1245","780050101",204
"1246","780050102",22
"1247","780050103",1454
"1248","780050104",714
"1249","780050105",1193
"1250","780050106",1007
"1251","780050107",697
"1252","780050108",885
"1253","780050109",1742
"1254","780150101",725
"1255","780150102",1058
"1256","780150103",695
"1257","780150104",1107
"1258","780150105",616
"1259","780150106",802
"1260","780290101",813
"1261","780290102",1040
"1262","780290103",600
"1263","780290104",661
"1264","780290105",767
"1265","780290106",583
"1266","780620101",2612
"1267","780620102",1949
"1268","780620103",2969
"1269","780730103",531
"1270","780730104",1088
"1271","780730105",849
"1272","780730106",616
"1273","780730107",1356
"1274","780730108",871
"1275","780920101",2010
"1276","780920102",2548
"1277","780920103",1916
"1278","780920104",2222
"1279","781170101",3482
"1280","781170102",2281
"1281","781230101",989
"1282","781230102",1379
"1283","781230103",1099
"1284","781230104",651
"1285","781230105",497
"1286","781230106",1011
"1287","781240101",866
"1288","781240102",774
"1289","781240103",997
"1290","781240104",1476
"1291","781240105",1223
"1292","781260101",705
"1293","781260102",655
"1294","781260103",594
"1295","781260104",649
"1296","781260105",774
"1297","781260106",718
"1298","781260107",1038
"1299","781260108",672
"1300","781260109",745
"1301","781260110",844
"1302","781260111",782
"1303","781330101",2725
"1304","781330102",2821
"1305","781380101",2452
"1306","781380102",2393
"1307","781380103",2245
"1308","781380104",1794
"1309","781380105",1383
"1310","781460101",1004
"1311","781460102",861
"1312","781460103",928
"1313","781460104",1076
"1314","781460105",950
"1315","781460106",1251
"1316","781460107",548
"1317","781460108",801
"1318","781460109",588
"1319","781460110",995
"1320","781460111",887
"1321","781460112",997
"1322","781460113",503
"1323","781580101",659
"1324","781580102",647
"1325","781580103",945
"1326","781580104",964
"1327","781580105",588
"1328","781580106",941
"1329","781580107",988
"1330","781580108",854
"1331","781580109",785
"1332","781580110",1214
"1333","781580111",837
"1334","781580112",604
"1335","781580113",875
"1336","781600101",2487
"1337","781600102",2988
"1338","781650101",1245
"1339","781650102",1198
"1340","781650103",771
"1341","781650104",1144
"1342","781650105",1305
"1343","781650106",1079
"1344","781720101",805
"1345","781720102",690
"1346","781720103",541
"1347","781720104",898
"1348","781720105",777
"1349","781720106",770
"1350","781720107",1082
"1351","781720108",919
"1352","781720109",1140
"1353","781720110",848
"1354","781720111",831
"1355","781720112",1988
"1356","781720113",619
"1357","781720114",1065
"1358","781720115",864
